Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                   0                   1                   2                   3                   4                   5                   6                   7                   8                   9
--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | ( 86.0, 71.0)=30785 ( 81.3, 70.9)=    0 ( 76.7, 70.9)=    0 ( 72.1, 70.9)=    0 ( 67.5, 70.8)=    0 ( 63.1, 70.7)=    0 ( 58.6, 70.7)=    0 ( 54.3, 70.5)=    0 ( 49.9, 70.3)=    0 ( 45.6, 70.1)=    0 
      1 | ( 25.0,137.0)=26254 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 ( -1.0, -1.0)=   -4 
      2 | (257.0, 97.0)=26179 (254.8, 97.0)=    0 (252.7, 97.0)=    0 (250.6, 97.0)=    0 (248.6, 97.0)=    0 (246.5, 96.9)=    0 (244.5, 96.9)=    0 (242.5, 96.9)=    0 (240.5, 96.9)=    0 (238.4, 97.0)=    0 
      3 | (247.0, 89.0)=23658 (244.9, 89.0)=    0 (242.7, 89.0)=    0 (240.6, 88.9)=    0 (238.6, 88.9)=    0 (236.5, 88.9)=    0 (234.4, 88.9)=    0 (232.3, 88.8)=    0 (230.3, 88.8)=    0 (228.2, 88.8)=    0 
      4 | (274.0, 73.0)=23339 (271.9, 73.0)=    0 (269.7, 73.0)=    0 (267.7, 73.1)=    0 (265.5, 73.1)=    0 (263.5, 73.1)=    0 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
      5 | ( 98.0,138.0)=22970 ( 95.0,137.9)=    0 ( 92.0,137.8)=    0 ( 89.1,137.8)=    0 ( 86.1,137.7)=    0 ( 83.2,137.7)=    0 ( 80.3,137.6)=    0 ( 77.5,137.5)=    0 ( 74.6,137.5)=    0 ( 71.8,137.4)=    0 
      6 | (281.0,146.0)=22602 (277.1,146.0)=    0 (273.3,146.0)=    0 (269.4,145.9)=    0 (265.6,145.9)=    0 (261.8,145.8)=    0 (258.0,145.8)=    0 (254.2,145.8)=    0 (250.3,145.7)=    0 (246.4,145.7)=    0 
      7 | (261.0, 73.0)=21562 (258.9, 73.0)=    0 (256.7, 72.9)=    0 (254.6, 73.0)=    0 (252.6, 73.0)=    0 (250.5, 73.0)=    0 (248.4, 73.0)=    0 (246.4, 73.0)=    0 (244.3, 73.0)=    0 (242.2, 73.0)=    0 
      8 | (241.0, 72.0)=20968 (238.9, 72.0)=    0 (236.8, 71.9)=    0 (234.7, 71.9)=    0 (232.6, 71.9)=    0 (230.5, 71.9)=    0 (228.4, 71.9)=    0 (226.4, 71.9)=    0 (224.3, 71.9)=    0 (222.3, 71.9)=    0 
      9 | ( 98.0,117.0)=20894 ( 95.0,117.0)=    0 ( 91.9,116.9)=    0 ( 89.0,116.9)=    0 ( 86.0,116.8)=    0 ( 83.1,116.7)=    0 ( 80.2,116.7)=    0 ( 77.4,116.6)=    0 ( 74.4,116.5)=    0 ( 71.6,116.4)=    0 
     10 | (271.0, 92.0)=20086 (268.9, 92.0)=    0 (266.7, 92.0)=    0 (264.6, 92.0)=    0 (262.5, 92.0)=    0 (260.5, 92.0)=    0 (258.4, 92.0)=    0 (256.3, 92.1)=    0 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     11 | (260.0,145.0)=18628 (256.3,145.0)=    0 (253.2,144.9)=    0 (250.2,144.9)=    0 (247.2,144.9)=    0 (244.3,144.9)=    0 (241.3,144.9)=    0 (238.4,144.9)=    0 (235.4,144.9)=    0 (232.4,144.9)=    0 
     12 | (251.0, 73.0)=18466 (248.9, 73.0)=    0 (246.8, 73.0)=    0 (244.7, 73.0)=    0 (242.6, 72.9)=    0 (240.5, 72.9)=    0 (238.5, 72.9)=    0 (236.5, 72.9)=    0 (234.4, 72.9)=    0 (232.3, 72.8)=    0 
     13 | (290.0,196.0)=18380 (286.2,196.2)=    0 (282.3,196.4)=    0 (278.5,196.5)=    0 (274.7,196.7)=    0 (270.9,196.8)=    0 (267.1,197.0)=    0 (263.3,197.2)=    0 (259.5,197.3)=    0 (255.5,197.5)=    0 
     14 | (150.0,122.0)=16856 (147.8,122.0)=    0 (145.6,121.9)=    0 (143.5,121.9)=    0 (141.3,121.8)=    0 (139.2,121.8)=    0 (137.1,121.7)=    0 (135.0,121.6)=    0 (132.9,121.6)=    0 (130.7,121.6)=    0 
     15 | (292.0, 84.0)=16443 (287.9, 84.1)=    0 (283.7, 84.1)=    0 (279.6, 84.1)=    0 (275.6, 84.2)=    0 (271.6, 84.3)=    0 (267.4, 84.2)=    0 (263.5, 84.4)=    0 (259.4, 84.3)=    0 (255.3, 84.3)=    0 
     16 | (284.0, 74.0)=16180 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     17 | (138.0,122.0)=15954 (135.4,122.0)=    0 (132.8,122.1)=    0 (130.3,122.1)=    0 (127.8,122.1)=    0 (125.3,122.1)=    0 (122.8,122.2)=    0 (120.5,122.3)=    0 (118.0,122.4)=    0 (115.6,122.4)=    0 
     18 | (173.0,189.0)=15545 (168.3,188.9)=    0 (163.6,188.7)=    0 (158.9,188.6)=    0 (154.3,188.5)=    0 (149.7,188.3)=    0 (145.2,188.1)=    0 (140.7,187.9)=    0 (136.1,187.7)=    0 (131.5,187.6)=    0 
     19 | (111.0,112.0)=15398 (108.0,112.0)=    0 (105.0,111.9)=    0 (102.1,111.9)=    0 ( 99.2,111.8)=    0 ( 96.3,111.7)=    0 ( 93.5,111.7)=    0 ( 90.6,111.6)=    0 ( 87.8,111.5)=    0 ( 84.9,111.5)=    0 
     20 | (282.0, 89.0)=14747 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     21 | (112.0,141.0)=14339 (109.1,140.9)=    0 (106.2,140.8)=    0 (103.3,140.8)=    0 (100.4,140.7)=    0 ( 97.5,140.6)=    0 ( 94.6,140.5)=    0 ( 91.8,140.5)=    0 ( 89.0,140.4)=    0 ( 86.2,140.3)=    0 
     22 | (258.0,109.0)=14158 (255.9,109.0)=    0 (253.8,109.0)=    0 (251.7,109.0)=    0 (249.7,109.0)=    0 (247.6,109.0)=    0 (245.6,109.0)=    0 (243.5,109.0)=    0 (241.4,109.0)=    0 (239.3,109.0)=    0 
     23 | ( 94.0,166.0)=13366 ( 89.4,165.9)=    0 ( 84.9,165.8)=    0 ( 80.4,165.7)=    0 ( 76.0,165.5)=    0 ( 71.5,165.4)=    0 ( 67.2,165.2)=    0 ( 62.8,164.9)=    0 ( 58.5,164.7)=    0 ( 54.2,164.4)=    0 
     24 | ( 92.0, 90.0)=13192 ( 87.4, 89.9)=    0 ( 82.7, 89.9)=    0 ( 78.2, 89.9)=    0 ( 73.6, 89.9)=    0 ( 69.1, 89.9)=    0 ( 64.7, 89.9)=    0 ( 60.3, 89.8)=    0 ( 55.9, 89.8)=    0 ( 51.6, 89.7)=    0 
     25 | (291.0,113.0)=12843 (286.9,113.0)=    0 (282.8,113.0)=    0 (278.8,113.1)=    0 (274.6,113.1)=    0 (270.6,113.0)=    0 (266.6,113.0)=    0 (262.5,113.0)=    0 (258.5,113.0)=    0 (254.4,113.0)=    0 
     26 | (142.0, 98.0)=12619 (139.8, 97.9)=    0 (137.7, 97.9)=    0 (135.6, 97.8)=    0 (133.4, 97.8)=    0 (131.4, 97.7)=    0 (129.3, 97.7)=    0 (127.3, 97.6)=    0 (125.3, 97.5)=    0 (123.2, 97.5)=    0 
     27 | ( 94.0,177.0)=12395 ( 89.5,177.0)=    0 ( 85.0,176.9)=    0 ( 80.5,176.8)=    0 ( 76.0,176.6)=    0 ( 71.7,176.5)=    0 ( 67.4,176.4)=    0 ( 63.1,176.2)=    0 ( 58.7,175.9)=    0 ( 54.5,175.7)=    0 
     28 | (118.0, 59.0)=12295 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     29 | (113.0,213.0)=11954 (109.1,212.9)=    0 (105.3,212.8)=    0 (101.6,212.7)=    0 ( 97.8,212.5)=    0 ( 94.0,212.4)=    0 ( 90.2,212.2)=    0 ( 86.4,212.0)=    0 ( 82.6,211.8)=    0 ( 78.9,211.7)=    0 
     30 | (151.0, 60.0)=11689 (148.8, 60.0)=    0 (146.6, 60.0)=    0 (144.5, 60.0)=    0 (142.4, 60.0)=    0 (140.3, 60.0)=    0 (138.2, 60.0)=    0 (136.0, 60.0)=    0 (133.9, 60.0)=    0 (131.8, 60.0)=    0 
     31 | ( 94.0,148.0)=11458 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 ( -1.0, -1.0)=   -5 
     32 | (131.0,207.0)=11096 (126.9,206.9)=    0 (122.7,206.7)=    0 (118.7,206.6)=    0 (114.4,206.5)=    0 (110.3,206.4)=    0 (105.9,206.4)=    0 (101.4,206.3)=    0 ( 97.0,206.2)=    0 ( 92.9,206.0)=    0 
     33 | (287.0,160.0)=10966 (283.2,160.2)=    0 (279.3,160.4)=    0 (275.5,160.6)=    0 (271.6,160.7)=    0 (267.8,160.8)=    0 (263.9,161.0)=    0 (260.1,161.2)=    0 (256.3,161.4)=    0 (252.4,161.6)=    0 
     34 | (102.0,214.0)=10641 ( 98.1,213.8)=    0 ( 94.1,213.7)=    0 ( 90.4,213.6)=    0 ( 86.6,213.5)=    0 ( 82.8,213.3)=    0 ( 79.0,213.2)=    0 ( 75.3,213.0)=    0 ( 71.6,212.8)=    0 ( 67.9,212.7)=    0 
     35 | (268.0,106.0)=10529 (265.9,106.0)=    0 (263.7,106.1)=    0 (261.6,106.1)=    0 (259.5,106.1)=    0 (257.4,106.1)=    0 (255.3,106.1)=    0 (253.2,106.1)=    0 (251.1,106.1)=    0 ( -1.0, -1.0)=   -5 
     36 | ( 52.0, 64.0)=10204 ( 49.5, 63.9)=    0 ( 46.9, 63.9)=    0 ( 44.3, 63.9)=    0 ( 41.7, 63.8)=    0 ( 39.1, 63.8)=    0 ( 36.6, 63.7)=    0 ( 34.1, 63.7)=    0 ( 31.6, 63.7)=    0 ( 29.0, 63.7)=    0 
     37 | (160.0,195.0)=10007 (155.4,194.9)=    0 (150.7,194.8)=    0 (146.1,194.7)=    0 (141.5,194.5)=    0 (136.9,194.4)=    0 (132.4,194.3)=    0 (127.9,194.1)=    0 (123.5,193.9)=    0 (119.0,193.8)=    0 
     38 | (157.0,103.0)= 9594 (154.9,102.9)=    0 (152.7,102.9)=    0 (150.6,102.8)=    0 (148.5,102.7)=    0 (146.4,102.7)=    0 (144.4,102.6)=    0 (142.3,102.6)=    0 (140.2,102.5)=    0 (138.1,102.4)=    0 
     39 | (277.0,203.0)= 9170 (272.0,203.1)=    0 (266.8,203.3)=    0 (261.8,203.6)=    0 (256.7,203.8)=    0 (251.7,203.9)=    0 (246.7,204.1)=    0 (241.6,204.2)=    0 (236.5,204.2)=    0 (231.4,204.3)=    0 
     40 | (254.0,184.0)= 9137 (250.7,184.2)=    0 (247.2,184.4)=    0 (243.9,184.6)=    0 (240.5,184.7)=    0 (237.2,185.0)=    0 (233.9,185.2)=    0 (230.6,185.4)=    0 (227.3,185.6)=    0 (223.9,185.9)=    0 
     41 | (204.0, 37.0)= 8690 (202.9, 37.0)=    0 (201.9, 37.1)=    0 (200.9, 37.0)=    0 (199.9, 37.0)=    0 (198.9, 37.0)=    0 (197.9, 37.0)=    0 (196.9, 37.0)=    0 (196.0, 36.9)=    0 (194.9, 36.9)=    0 
     42 | (277.0,214.0)= 7976 (271.9,214.1)=    0 (266.8,214.2)=    0 (261.8,214.3)=    0 (256.7,214.4)=    0 (251.5,214.5)=    0 (246.5,214.6)=    0 (241.5,214.7)=    0 (236.3,214.8)=    0 (231.2,214.8)=    0 
