Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |               0               1               2               3               4               5               6               7               8               9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | ( 86, 71)=30785 ( 81, 71)=    0 ( 81, 71)=    0 ( 72, 71)=    0 ( 68, 71)=    0 ( 63, 71)=    0 ( 59, 71)=    0 ( 54, 71)=    0 ( 50, 70)=    0 ( 46, 70)=    0 
      1 | ( 25,137)=26254 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
      2 | (257, 97)=26179 (255, 97)=    0 (255, 97)=    0 (251, 97)=    0 (249, 97)=    0 (247, 97)=    0 (245, 97)=    0 (243, 97)=    0 (241, 97)=    0 (238, 97)=    0 
      3 | (247, 89)=23658 (245, 89)=    0 (245, 89)=    0 (241, 89)=    0 (239, 89)=    0 (237, 89)=    0 (234, 89)=    0 (232, 89)=    0 (230, 89)=    0 (228, 89)=    0 
      4 | (274, 73)=23339 (272, 73)=    0 (272, 73)=    0 (268, 73)=    0 (266, 73)=    0 (264, 73)=    0 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
      5 | ( 98,138)=22970 ( 95,138)=    0 ( 95,138)=    0 ( 89,138)=    0 ( 86,138)=    0 ( 83,138)=    0 ( 80,138)=    0 ( 78,138)=    0 ( 75,138)=    0 ( 72,137)=    0 
      6 | (281,146)=22602 (277,146)=    0 (277,146)=    0 (269,146)=    0 (266,146)=    0 (262,146)=    0 (258,146)=    0 (254,146)=    0 (250,146)=    0 (246,146)=    0 
      7 | (261, 73)=21562 (259, 73)=    0 (259, 73)=    0 (255, 73)=    0 (253, 73)=    0 (251, 73)=    0 (248, 73)=    0 (246, 73)=    0 (244, 73)=    0 (242, 73)=    0 
      8 | (241, 72)=20968 (239, 72)=    0 (239, 72)=    0 (235, 72)=    0 (233, 72)=    0 (231, 72)=    0 (228, 72)=    0 (226, 72)=    0 (224, 72)=    0 (222, 72)=    0 
      9 | ( 98,117)=20894 ( 95,117)=    0 ( 95,117)=    0 ( 89,117)=    0 ( 86,117)=    0 ( 83,117)=    0 ( 80,117)=    0 ( 77,117)=    0 ( 74,117)=    0 ( 72,116)=    0 
     10 | (271, 92)=20086 (269, 92)=    0 (269, 92)=    0 (265, 92)=    0 (263, 92)=    0 (261, 92)=    0 (258, 92)=    0 (256, 92)=    0 ( -1, -1)=   -5 ( -1, -1)=   -5 
     11 | (260,145)=18628 (256,145)=    0 (256,145)=    0 (250,145)=    0 (247,145)=    0 (244,145)=    0 (241,145)=    0 (238,145)=    0 (235,145)=    0 (232,145)=    0 
     12 | (251, 73)=18466 (249, 73)=    0 (249, 73)=    0 (245, 73)=    0 (243, 73)=    0 (241, 73)=    0 (239, 73)=    0 (237, 73)=    0 (234, 73)=    0 (232, 73)=    0 
     13 | (290,196)=18380 (286,196)=    0 (286,196)=    0 (279,197)=    0 (275,197)=    0 (271,197)=    0 (267,197)=    0 (263,197)=    0 (260,197)=    0 (256,198)=    0 
     14 | (150,122)=16856 (148,122)=    0 (148,122)=    0 (144,122)=    0 (141,122)=    0 (139,122)=    0 (137,122)=    0 (135,122)=    0 (133,122)=    0 (131,122)=    0 
     15 | (292, 84)=16443 (288, 84)=    0 (288, 84)=    0 (280, 84)=    0 (276, 84)=    0 (272, 84)=    0 (267, 84)=    0 (264, 84)=    0 (259, 84)=    0 (255, 84)=    0 
     16 | (284, 74)=16180 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     17 | (138,122)=15954 (135,122)=    0 (135,122)=    0 (130,122)=    0 (128,122)=    0 (125,122)=    0 (123,122)=    0 (121,122)=    0 (118,122)=    0 (116,122)=    0 
     18 | (173,189)=15545 (168,189)=    0 (168,189)=    0 (159,189)=    0 (154,189)=    0 (150,188)=    0 (145,188)=    0 (141,188)=    0 (136,188)=    0 (132,188)=    0 
     19 | (111,112)=15398 (108,112)=    0 (108,112)=    0 (102,112)=    0 ( 99,112)=    0 ( 96,112)=    0 ( 94,112)=    0 ( 91,112)=    0 ( 88,112)=    0 ( 85,112)=    0 
     20 | (282, 89)=14747 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     21 | (112,141)=14339 (109,141)=    0 (109,141)=    0 (103,141)=    0 (100,141)=    0 ( 98,141)=    0 ( 95,141)=    0 ( 92,141)=    0 ( 89,140)=    0 ( 86,140)=    0 
     22 | (258,109)=14158 (256,109)=    0 (256,109)=    0 (252,109)=    0 (250,109)=    0 (248,109)=    0 (246,109)=    0 (244,109)=    0 (241,109)=    0 (239,109)=    0 
     23 | ( 94,166)=13366 ( 89,166)=    0 ( 89,166)=    0 ( 80,166)=    0 ( 76,166)=    0 ( 72,165)=    0 ( 67,165)=    0 ( 63,165)=    0 ( 59,165)=    0 ( 54,164)=    0 
     24 | ( 92, 90)=13192 ( 87, 90)=    0 ( 87, 90)=    0 ( 78, 90)=    0 ( 74, 90)=    0 ( 69, 90)=    0 ( 65, 90)=    0 ( 60, 90)=    0 ( 56, 90)=    0 ( 52, 90)=    0 
     25 | (291,113)=12843 (287,113)=    0 (287,113)=    0 (279,113)=    0 (275,113)=    0 (271,113)=    0 (267,113)=    0 (263,113)=    0 (259,113)=    0 (254,113)=    0 
     26 | (142, 98)=12619 (140, 98)=    0 (140, 98)=    0 (136, 98)=    0 (133, 98)=    0 (131, 98)=    0 (129, 98)=    0 (127, 98)=    0 (125, 98)=    0 (123, 98)=    0 
     27 | ( 94,177)=12395 ( 90,177)=    0 ( 90,177)=    0 ( 81,177)=    0 ( 76,177)=    0 ( 72,177)=    0 ( 67,176)=    0 ( 63,176)=    0 ( 59,176)=    0 ( 55,176)=    0 
     28 | (118, 59)=12295 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     29 | (113,213)=11954 (109,213)=    0 (109,213)=    0 (102,213)=    0 ( 98,213)=    0 ( 94,212)=    0 ( 90,212)=    0 ( 86,212)=    0 ( 83,212)=    0 ( 79,212)=    0 
     30 | (151, 60)=11689 (149, 60)=    0 (149, 60)=    0 (145, 60)=    0 (142, 60)=    0 (140, 60)=    0 (138, 60)=    0 (136, 60)=    0 (134, 60)=    0 (132, 60)=    0 
     31 | ( 94,148)=11458 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     32 | (131,207)=11096 (127,207)=    0 (127,207)=    0 (119,207)=    0 (114,207)=    0 (110,206)=    0 (106,206)=    0 (101,206)=    0 ( 97,206)=    0 ( 93,206)=    0 
     33 | (287,160)=10966 (283,160)=    0 (283,160)=    0 (276,161)=    0 (272,161)=    0 (268,161)=    0 (264,161)=    0 (260,161)=    0 (256,161)=    0 (252,162)=    0 
     34 | (102,214)=10641 ( 98,214)=    0 ( 98,214)=    0 ( 90,214)=    0 ( 87,214)=    0 ( 83,213)=    0 ( 79,213)=    0 ( 75,213)=    0 ( 72,213)=    0 ( 68,213)=    0 
     35 | (268,106)=10529 (266,106)=    0 (266,106)=    0 (262,106)=    0 (260,106)=    0 (257,106)=    0 (255,106)=    0 (253,106)=    0 (251,106)=    0 ( -1, -1)=   -5 
     36 | ( 52, 64)=10204 ( 50, 64)=    0 ( 50, 64)=    0 ( 44, 64)=    0 ( 42, 64)=    0 ( 39, 64)=    0 ( 37, 64)=    0 ( 34, 64)=    0 ( 32, 64)=    0 ( 29, 64)=    0 
     37 | (160,195)=10007 (155,195)=    0 (155,195)=    0 (146,195)=    0 (142,195)=    0 (137,194)=    0 (132,194)=    0 (128,194)=    0 (124,194)=    0 (119,194)=    0 
     38 | (157,103)= 9594 (155,103)=    0 (155,103)=    0 (151,103)=    0 (149,103)=    0 (146,103)=    0 (144,103)=    0 (142,103)=    0 (140,103)=    0 (138,102)=    0 
     39 | (277,203)= 9170 (272,203)=    0 (272,203)=    0 (262,204)=    0 (257,204)=    0 (252,204)=    0 (247,204)=    0 (242,204)=    0 (237,204)=    0 (231,204)=    0 
     40 | (254,184)= 9137 (251,184)=    0 (251,184)=    0 (244,185)=    0 (241,185)=    0 (237,185)=    0 (234,185)=    0 (231,185)=    0 (227,186)=    0 (224,186)=    0 
     41 | (204, 37)= 8690 (203, 37)=    0 (203, 37)=    0 (201, 37)=    0 (200, 37)=    0 (199, 37)=    0 (198, 37)=    0 (197, 37)=    0 (196, 37)=    0 (195, 37)=    0 
     42 | (277,214)= 7976 (272,214)=    0 (272,214)=    0 (262,214)=    0 (257,214)=    0 (252,215)=    0 (247,215)=    0 (242,215)=    0 (236,215)=    0 (231,215)=    0 
     43 | (203, 70)= 7886 (202, 70)=    0 (202, 70)=    0 (200, 70)=    0 (199, 70)=    0 (198, 70)=    0 (197, 70)=    0 (196, 70)=    0 (195, 70)=    0 (194, 70)=    0 
     44 | (139, 58)= 7794 (137, 58)=    0 (137, 58)=    0 (132, 58)=    0 (130, 58)=    0 (128, 58)=    0 (126, 58)=    0 (124, 58)=    0 (122, 58)=    0 (120, 58)=    0 
     45 | (288,215)= 7778 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     46 | (162, 60)= 7748 (160, 60)=    0 (160, 60)=    0 (156, 60)=    0 (153, 60)=    0 (151, 60)=    0 (149, 60)=    0 (147, 60)=    0 (145, 60)=    0 (143, 60)=    0 
     47 | (260,210)= 7459 (255,210)=    0 (255,210)=    0 (245,210)=    0 (240,210)=    0 (235,210)=    0 (230,210)=    0 (224,210)=    0 (219,211)=    0 (214,211)=    0 
     48 | ( 92,104)= 7224 ( 87,104)=    0 ( 87,104)=    0 ( 78,103)=    0 ( 74,103)=    0 ( 69,102)=    0 ( 65,102)=    0 ( 60,102)=    0 ( 56,101)=    0 ( 51,101)=    0 
     49 | (222,200)= 7133 (216,200)=    0 (216,200)=    0 (206,201)=    0 (200,201)=    0 (195,201)=    0 (189,202)=    0 (184,202)=    0 (179,202)=    0 (173,202)=    0 
     50 | (133,154)= 6685 (130,154)=    0 (130,154)=    0 (125,154)=    0 (122,154)=    0 (119,153)=    0 (117,153)=    0 (114,153)=    0 (111,153)=    0 (109,153)=    0 
     51 | (263,128)= 6230 (261,128)=    0 (261,128)=    0 (257,128)=    0 (255,128)=    0 (252,128)=    0 (250,128)=    0 (248,128)=    0 (246,128)=    0 (244,128)=    0 
     52 | ( 62,139)= 6219 ( 57,139)=    0 ( 57,139)=    0 ( 47,138)=    0 ( 42,138)=    0 ( 38,138)=    0 ( 33,138)=    0 ( 28,138)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 
     53 | (204,198)= 6211 (199,198)=    0 (199,198)=    0 (188,198)=    0 (183,198)=    0 (177,198)=    0 (172,198)=    0 (167,198)=    0 (161,198)=    0 (156,197)=    0 
     54 | ( 73,128)= 6004 ( 68,128)=    0 ( 68,128)=    0 ( 58,128)=    0 ( 53,127)=    0 ( 49,127)=    0 ( 44,127)=    0 ( 39,127)=    0 ( 35,127)=    0 ( 30,127)=    0 
     55 | (284,130)= 5975 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     56 | (183, 47)= 5903 (181, 47)=    0 (181, 47)=    0 (177, 47)=    0 (175, 47)=    0 (173, 47)=    0 (171, 47)=    0 (169, 47)=    0 (166, 47)=    0 (164, 47)=    0 
     57 | (292, 94)= 5782 (288, 94)=    0 (288, 94)=    0 (280, 94)=    0 (276, 94)=    0 (272, 94)=    0 (268, 94)=    0 (264, 94)=    0 (260, 94)=    0 (256, 94)=    0 
     58 | ( 82,188)= 5408 ( 77,188)=    0 ( 77,188)=    0 ( 68,187)=    0 ( 63,187)=    0 ( 58,187)=    0 ( 54,186)=    0 ( 49,186)=    0 ( 45,186)=    0 ( 40,185)=    0 
